round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
105,0.0020638532005250454,0.0020638532005250454,0.022182947024703026,0.0020189255010336637,0.0020189255010336637,0.024576328694820404,64,7,relu,75,16,tanh,256,200,20,adam,1e-05
95,0.002056985627859831,0.002056985627859831,0.02209702879190445,0.0020645642653107643,0.0020645642653107643,0.02473505400121212,64,7,relu,75,16,relu,256,200,20,adam,0.0001
114,0.002065285574644804,0.002065285574644804,0.022133098915219307,0.002012902172282338,0.002012902172282338,0.02436818927526474,32,3,relu,50,32,tanh,256,200,20,adam,1e-05
92,0.002081888495013118,0.002081888495013118,0.022323036566376686,0.0020583467558026314,0.0020583467558026314,0.02461298555135727,32,7,relu,50,64,tanh,256,200,20,adam,0.001
556,0.002039601095020771,0.002039601095020771,0.02220000885426998,0.0020315898582339287,0.0020315898582339287,0.02455194666981697,64,5,relu,50,64,relu,256,200,20,adam,0.0001
1000,0.0019671593327075243,0.0019671593327075243,0.02188536524772644,0.0019049440743401647,0.0019049440743401647,0.024063726887106895,64,5,relu,75,64,tanh,256,200,20,adam,0.0001
93,0.0020666804630309343,0.0020666804630309343,0.022128641605377197,0.0020523746497929096,0.0020523746497929096,0.024433298036456108,64,5,relu,75,16,relu,256,200,20,adam,1e-05
111,0.0020597376860678196,0.0020597376860678196,0.022145768627524376,0.0019781547598540783,0.0019781547598540783,0.02442621998488903,32,7,relu,75,16,relu,256,200,20,adam,0.001
95,0.002050424227491021,0.002050424227491021,0.02201821282505989,0.0019775498658418655,0.0019775498658418655,0.024204153567552567,32,3,relu,75,64,tanh,256,200,20,adam,0.001
84,0.0020806179381906986,0.0020806179381906986,0.022159405052661896,0.002030604751780629,0.002030604751780629,0.024408508092164993,32,3,relu,75,16,tanh,256,200,20,adam,0.0001
101,0.00207351497374475,0.00207351497374475,0.022258320823311806,0.002010683761909604,0.002010683761909604,0.024374160915613174,64,5,relu,50,16,relu,256,200,20,adam,1e-05
85,0.002060891129076481,0.002060891129076481,0.022157395258545876,0.0020112355705350637,0.0020112355705350637,0.024379095062613487,32,7,relu,50,32,relu,256,200,20,adam,0.001
119,0.0020768875256180763,0.0020768875256180763,0.022296227514743805,0.0019604465924203396,0.0019604465924203396,0.024212995544075966,32,3,relu,75,16,relu,256,200,20,adam,0.0001
91,0.002055054297670722,0.002055054297670722,0.022007664665579796,0.0019845757633447647,0.0019845757633447647,0.024182602763175964,64,5,relu,50,32,relu,256,200,20,adam,1e-05
84,0.0020687999203801155,0.0020687999203801155,0.022095216438174248,0.001967411721125245,0.001967411721125245,0.024224819615483284,32,3,relu,75,64,relu,256,200,20,adam,1e-05
1000,0.0019520892528817058,0.0019520892528817058,0.02171236276626587,0.0019460344919934869,0.0019460344919934869,0.02411353774368763,64,7,relu,75,16,relu,256,200,20,adam,1e-05
204,0.002083712490275502,0.002083712490275502,0.02248702012002468,0.0020779864862561226,0.0020779864862561226,0.024792205542325974,32,7,relu,50,32,relu,256,200,20,adam,0.0001
102,0.0020664208568632603,0.0020664208568632603,0.022150175645947456,0.001968450378626585,0.001968450378626585,0.02425169199705124,64,5,relu,75,16,tanh,256,200,20,adam,0.0001
104,0.0020623737946152687,0.0020623737946152687,0.02210160903632641,0.001976917264983058,0.001976917264983058,0.024324631318449974,64,5,relu,50,16,tanh,256,200,20,adam,0.0001
107,0.0020610105711966753,0.0020610105711966753,0.022099319845438004,0.00191461609210819,0.00191461609210819,0.024049382656812668,32,5,relu,50,16,relu,256,200,20,adam,0.0001
