round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
158,0.001446570036932826,0.001446570036932826,0.018020356073975563,0.0013304128078743815,0.0013304128078743815,0.018966421484947205,50,relu,100,relu,256,200,20,adam,1e-05
151,0.0014860433293506503,0.0014860433293506503,0.018341977149248123,0.0013422078918665648,0.0013422078918665648,0.019274014979600906,75,relu,32,relu,256,200,20,rmsprop,0.001
135,0.0014103513676673174,0.0014103513676673174,0.01763313263654709,0.0013511937577277422,0.0013511937577277422,0.018805518746376038,75,relu,16,relu,256,200,20,nadam,0.0001
164,0.0014446680434048176,0.0014446680434048176,0.018004892393946648,0.0013232278870418668,0.0013232278870418668,0.018956495448946953,100,relu,64,relu,256,200,20,nadam,1e-05
118,0.0014896111097186804,0.0014896111097186804,0.018400507047772408,0.0013324670726433396,0.0013324670726433396,0.019263582304120064,100,relu,32,relu,256,200,20,nadam,1e-05
123,0.0014126254245638847,0.0014126254245638847,0.017669500783085823,0.0013662036508321762,0.0013662036508321762,0.018892604857683182,50,relu,100,relu,256,200,20,rmsprop,0.001
175,0.0014185950858518481,0.0014185950858518481,0.017793668434023857,0.0013349961955100298,0.0013349961955100298,0.018848596140742302,100,relu,64,relu,256,200,20,adam,0.0001
163,0.0014221629826352,0.0014221629826352,0.017814861610531807,0.0013395254500210285,0.0013395254500210285,0.018842974677681923,100,relu,16,relu,256,200,20,rmsprop,1e-05
135,0.0014736470766365528,0.0014736470766365528,0.0182632002979517,0.0013464358635246754,0.0013464358635246754,0.019246893003582954,50,relu,32,relu,256,200,20,adam,0.001
120,0.0014149525668472052,0.0014149525668472052,0.0177867840975523,0.001344303018413484,0.001344303018413484,0.018827857449650764,50,relu,100,relu,256,200,20,rmsprop,0.0001
136,0.0014225528575479984,0.0014225528575479984,0.017746172845363617,0.0013351330999284983,0.0013351330999284983,0.01879059709608555,50,relu,32,relu,256,200,20,rmsprop,0.0001
