round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
175,0.002080000936985016,0.002080000936985016,0.030174076557159424,0.0013851142721250653,0.0013851142721250653,0.021265273913741112,32,16,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
83,0.003086039097979665,0.003086039097979665,0.03882981464266777,0.0013708736514672637,0.0013708736514672637,0.019344905391335487,64,4,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
307,0.0018145344220101833,0.0018145344220101833,0.027199415490031242,0.0013248929753899574,0.0013248929753899574,0.019645707681775093,64,4,relu,1,0.1,64,relu,256,1000,50,adam,0.0001
330,0.001784136868081987,0.001784136868081987,0.026153959333896637,0.0013218988897278905,0.0013218988897278905,0.019453341141343117,16,4,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
310,0.0017089301254600286,0.0017089301254600286,0.026753678917884827,0.0012762333499267697,0.0012762333499267697,0.01976962760090828,64,4,relu,1,0.1,32,relu,256,1000,50,adam,0.001
555,0.0016122874803841114,0.0016122874803841114,0.025893820449709892,0.001296917092986405,0.001296917092986405,0.020342126488685608,64,4,relu,1,0.1,64,relu,256,1000,50,adam,0.001
249,0.001993052428588271,0.001993052428588271,0.029237009584903717,0.0013090980937704444,0.0013090980937704444,0.01934531331062317,64,8,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
244,0.0018824143335223198,0.0018824143335223198,0.02854960598051548,0.0013282892759889364,0.0013282892759889364,0.01977119967341423,16,8,relu,1,0.05,32,relu,256,1000,50,adam,1e-05
274,0.0018335580825805664,0.0018335580825805664,0.026581773534417152,0.0013233216013759375,0.0013233216013759375,0.019788730889558792,32,4,relu,1,0.1,32,relu,256,1000,50,adam,0.0001
431,0.0016814334085211158,0.0016814334085211158,0.025595806539058685,0.0012996153673157096,0.0012996153673157096,0.020778262987732887,16,4,relu,8,0.05,32,relu,256,1000,50,adam,0.001
273,0.0020283591002225876,0.0020283591002225876,0.029087621718645096,0.0013059176271781325,0.0013059176271781325,0.01931471936404705,32,16,relu,1,0.05,32,relu,256,1000,50,adam,1e-05
85,0.0028252999763935804,0.0028252999763935804,0.03678058087825775,0.0013755655381828547,0.0013755655381828547,0.019569488242268562,64,8,relu,4,0.05,64,relu,256,1000,50,adam,0.0001
229,0.002137233968824148,0.002137233968824148,0.029748374596238136,0.001331263454630971,0.001331263454630971,0.0192283783107996,16,16,relu,8,0.1,32,relu,256,1000,50,adam,1e-05
207,0.0020029228180646896,0.0020029228180646896,0.02900906465947628,0.0013497151667252183,0.0013497151667252183,0.01948065683245659,16,16,relu,8,0.05,64,relu,256,1000,50,adam,0.001
308,0.0015872679650783539,0.0015872679650783539,0.025504348799586296,0.001294494140893221,0.001294494140893221,0.019662143662571907,32,16,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
95,0.0027617726009339094,0.0027617726009339094,0.03666150942444801,0.0013660936383530498,0.0013660936383530498,0.0196734219789505,64,4,relu,1,0.0,32,relu,256,1000,50,adam,0.0001
244,0.0019996522460132837,0.0019996522460132837,0.028328489512205124,0.0013264562003314495,0.0013264562003314495,0.019323857501149178,64,16,relu,4,0.1,32,relu,256,1000,50,adam,0.001
171,0.0020940143149346113,0.0020940143149346113,0.030537914484739304,0.0013571474701166153,0.0013571474701166153,0.02001972682774067,64,8,relu,8,0.0,32,relu,256,1000,50,adam,0.0001
438,0.001603311626240611,0.001603311626240611,0.025006068870425224,0.0012826725142076612,0.0012826725142076612,0.01948115974664688,16,8,relu,4,0.05,64,relu,256,1000,50,adam,1e-05
270,0.0019531708676368,0.0019531708676368,0.02885446324944496,0.0013025130610913038,0.0013025130610913038,0.019721444696187973,64,4,relu,4,0.1,64,relu,256,1000,50,adam,0.001
78,0.0030665078666061163,0.0030665078666061163,0.03936523571610451,0.0013906355015933514,0.0013906355015933514,0.020135199651122093,16,4,relu,4,0.0,32,relu,256,1000,50,adam,0.001
335,0.0016658613458275795,0.0016658613458275795,0.025580426678061485,0.0012969037052243948,0.0012969037052243948,0.020561786368489265,64,4,relu,1,0.0,64,relu,256,1000,50,adam,1e-05
481,0.0016829452943056822,0.0016829452943056822,0.025835907086730003,0.001349323196336627,0.001349323196336627,0.02015603706240654,16,8,relu,8,0.0,32,relu,256,1000,50,adam,1e-05
425,0.001685917959548533,0.001685917959548533,0.025624191388487816,0.0012674422468990088,0.0012674422468990088,0.019456883892416954,64,16,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
195,0.0020593972876667976,0.0020593972876667976,0.02944876253604889,0.0013135910267010331,0.0013135910267010331,0.019205020740628242,32,16,relu,1,0.1,64,relu,256,1000,50,adam,0.0001
406,0.001506539643742144,0.001506539643742144,0.023901240900158882,0.0013035874580964446,0.0013035874580964446,0.01957072503864765,32,16,relu,1,0.1,32,relu,256,1000,50,adam,0.0001
62,0.0034261855762451887,0.0034261855762451887,0.04311765730381012,0.0013689197367057204,0.0013689197367057204,0.019311344251036644,32,16,relu,1,0.0,32,relu,256,1000,50,adam,1e-05
143,0.002378260949626565,0.002378260949626565,0.032913096249103546,0.0013706013560295105,0.0013706013560295105,0.02011961303651333,32,8,relu,8,0.05,32,relu,256,1000,50,adam,1e-05
501,0.001537109143100679,0.001537109143100679,0.023870352655649185,0.001247128122486174,0.001247128122486174,0.01989375613629818,16,16,relu,4,0.1,32,relu,256,1000,50,adam,1e-05
66,0.0031803417950868607,0.0031803417950868607,0.041075676679611206,0.001387253520078957,0.001387253520078957,0.021475661545991898,64,16,relu,1,0.1,64,relu,256,1000,50,adam,1e-05
94,0.0026352854911237955,0.0026352854911237955,0.03493607044219971,0.0013381781755015254,0.0013381781755015254,0.020256293937563896,32,4,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
309,0.001856044982559979,0.001856044982559979,0.027433020994067192,0.001392555539496243,0.001392555539496243,0.021449821069836617,64,8,relu,4,0.1,32,relu,256,1000,50,adam,0.001
310,0.0017205820186063647,0.0017205820186063647,0.025425011292099953,0.0012908070348203182,0.0012908070348203182,0.01951305754482746,16,8,relu,4,0.0,64,relu,256,1000,50,adam,0.001
164,0.0022490243427455425,0.0022490243427455425,0.03202556073665619,0.0013277876423671842,0.0013277876423671842,0.01956946961581707,16,8,relu,1,0.0,32,relu,256,1000,50,adam,1e-05
381,0.0018809379544109106,0.0018809379544109106,0.0278947576880455,0.001308546750806272,0.001308546750806272,0.019603516906499863,32,16,relu,4,0.0,32,relu,256,1000,50,adam,0.0001
100,0.002993811620399356,0.002993811620399356,0.037950992584228516,0.0013592285104095936,0.0013592285104095936,0.01962755061686039,32,4,relu,4,0.1,64,relu,256,1000,50,adam,1e-05
128,0.0025589526630938053,0.0025589526630938053,0.0350179560482502,0.0014347496908158064,0.0014347496908158064,0.02179461345076561,64,16,relu,4,0.05,64,relu,256,1000,50,adam,0.001
519,0.0015195653541013598,0.0015195653541013598,0.025147365406155586,0.0012158952886238694,0.0012158952886238694,0.019357867538928986,16,16,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
341,0.0016897708410397172,0.0016897708410397172,0.02558814361691475,0.0013138590147718787,0.0013138590147718787,0.019542599096894264,16,4,relu,4,0.1,64,relu,256,1000,50,adam,0.001
143,0.002187069272622466,0.002187069272622466,0.031659286469221115,0.0013037723256275058,0.0013037723256275058,0.01918482966721058,32,16,relu,4,0.05,64,relu,256,1000,50,adam,0.001
329,0.0018036608817055821,0.0018036608817055821,0.026320235803723335,0.001343061332590878,0.001343061332590878,0.019990576431155205,16,16,relu,1,0.1,64,relu,256,1000,50,adam,0.001
152,0.002135993679985404,0.002135993679985404,0.03140058368444443,0.0013494237791746855,0.0013494237791746855,0.01966129243373871,64,4,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
443,0.0016905670054256916,0.0016905670054256916,0.02569829672574997,0.0012462163576856256,0.0012462163576856256,0.01956896111369133,64,4,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
375,0.0015692162560299039,0.0015692162560299039,0.02534610591828823,0.0012663572560995817,0.0012663572560995817,0.019717609509825706,16,4,relu,8,0.05,64,relu,256,1000,50,adam,1e-05
270,0.0018329964950680733,0.0018329964950680733,0.027882801368832588,0.0013340465957298875,0.0013340465957298875,0.020151766017079353,16,16,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
383,0.0015298968646675348,0.0015298968646675348,0.025429299101233482,0.001234097289852798,0.001234097289852798,0.01972367987036705,16,4,relu,1,0.1,32,relu,256,1000,50,adam,0.0001
534,0.0014758276520296931,0.0014758276520296931,0.023971568793058395,0.00123018235899508,0.00123018235899508,0.01972377672791481,16,4,relu,8,0.05,32,relu,256,1000,50,adam,1e-05
245,0.001762612722814083,0.001762612722814083,0.026544906198978424,0.0013464057119563222,0.0013464057119563222,0.02001200243830681,32,4,relu,4,0.0,64,relu,256,1000,50,adam,0.0001
68,0.0035995016805827618,0.0035995016805827618,0.04322800040245056,0.0013995078625157475,0.0013995078625157475,0.020879071205854416,64,4,relu,8,0.1,32,relu,256,1000,50,adam,0.001
245,0.001807320979423821,0.001807320979423821,0.027315879240632057,0.001295517198741436,0.001295517198741436,0.01946420781314373,32,4,relu,8,0.0,64,relu,256,1000,50,adam,0.0001
